,name,ratings,no_of_ratings,discount_price,actual_price
159,Mamaearth Charcoal Nourishing Soap With Charcoal and Mint for Deep Cleansing - 5x75g,4.0,1447.0,329.0,375.0
160,Himalaya Pure Hands | Hand Sanitizer - 500 ml (Lemon) (Packaging may vary),4.2,5715.0,245.0,250.0
161,SuperBottoms Dry Feel Langot - Pack of 6- Organic Cotton Padded Langot / Nappy with Gentle Elastics & a SuperDryFeel Layer...,4.1,678.0,799.0,1058.0
162,"Olay Total Effects Day Cream with Vitamin C, B5, Niacinamide, Green Tea for Normal, Dry, Oily & Combination skin, 20 gm",4.2,17330.0,351.0,399.0
163,"Cetaphil Baby Mild Bar for Face and Body-Pack of 2, 75g*2",4.4,52.0,389.0,436.0
164,Huggies Nature Care Baby Wipes - Plant Based with Aloe Vera & Calendula (72 x 1 Count),4.2,6492.0,141.0,199.0
165,Mamaearth Argan Shampoo - 250 ml + Argan Conditioner - 250ml,3.9,437.0,572.0,698.0
166,"Classic Mosquito Net for Baby | Bottomless Net for Infants, for Safe & Easy Use | Ensures Your Baby's Safe Sleep |135cmX65...",4.0,144.0,799.0,1499.0
167,Mamaearth Tan Removal Combo(Ubtan - Face Wash 100ml + Face Scrub 100g),4.2,2114.0,525.0,598.0
168,Sajani Flashing Plastic Magic Lattoo Top Toy // Toy with LED Lights Music Attractive Toy // Non-Toxic and Safe Spinning To...,5.0,20.0,249.0,299.0
169,"Philips Avent Comfort Manual Breast pump, Natural Motion technology, combines suction and nipple stimulation, soft cushion...",3.9,350.0,1395.0,2195.0
170,"Khamasi Hand Casting Kit | 3D Couple Casting Kit, casting kit for couples,molding powder for hand casting, Best gift for c...",4.4,386.0,1349.0,2999.0
171,"EASY SHOPE Baby Folding Mat Play Foam Crawl Waterproof Portable Kids Baby Toddler,Pack of 1,Multicolor",4.4,275.0,1849.0,3999.0
172,R for Rabbit Large L Size Premium Feather Diaper for Baby 9 to 14 kgs (92 Combo Pack Offer),4.2,2388.0,1747.0,2592.0
173,"Giggles Funskool Digger The Dog, Pull Along Toy, Encourages Walking,Funny Walking Style, 12 Months & Above, Infant And Pla...",4.3,3610.0,608.0,699.0
174,IMTION® Duck Baby Bathing Rubber Squeaky Ducks Floating Play Water Pool Tub Toys Chu Chu Duck (Yellow) - 4 Pcs,3.0,2.0,74.0,200.0
175,eHomeKart Wave Plain Adjustable 3-in-1 Plastic Swing for Kids (Multicolour),4.3,2198.0,1229.0,1350.0
176,CURATIO Tedibar Baby Bathing Bar -75 gm Each - Pack of 4,4.5,833.0,520.0,700.0
177,"Mylo Essentials Cloth diapers for babies with 2 Free Insert, Oeko Tex Certified for 3Months to 3Years, Pack of 2 (Blue & Red)",3.4,2603.0,559.0,898.0
178,"Huggies Complete Comfort Wonder Pants with Aloe Vera, Large (L) size baby diaper pants, 64 count",3.3,2515.0,851.0,1199.0
179,"Sunuo Baby's Cotton Cloth Diapers/Langot Washable and Reusable Nappies (Multicolour, 0-6 Months) Pack of 10 Pieces (MULTI)",3.9,5361.0,299.0,799.0
180,"Sebamed Baby Cleansing Bar, 3.5-Ounce Boxes (Pack of 4)",4.5,273.0,955.44,1140.0
181,"Novo Baby Monthly Milestone Blanket | 1 to 12 Months | Best for Newborn Boy & Girl, multicolor, Cotton, skin friendly",4.6,1798.0,749.0,989.0
182,"Little Angel Premier Pants Baby Diaper, Small (S) Size, 112 Count, Cottony Soft Material, Wetness Indicator, Breathable La...",3.0,3.0,994.0,1398.0
183,Mee Mee Protective Baby Nail Clipper Cutter with Skin Guard (Green)(Pack of 1),4.0,1799.0,183.0,229.0
184,"Mother Sparsh Baby Laundry Liquid Detergent (Powered by Plants) with Bio - Enzymes and Eucalyptus Oil, Refill Pack (500ML ...",4.4,1872.0,437.0,599.0
185,"Pampers Premium Care Pants, Medium size baby Diapers, (M) 38 Count Softest ever Pampers Pants,",4.4,10830.0,726.0,749.0
186,"Mamypoko Standard Baby Diaper Pants, Medium (7 - 12 kg) 36 Count",4.2,77972.0,362.0,447.0
187,"Little's Baby Pants Diapers with Wetness Indicator and 12 Hours Absorption, Small (S), 4 - 8 kg, 168 Count",4.0,61008.0,1295.0,1716.0
188,"Aveeno Baby Gentle Wash & Shampoo with Natural Oat Extract, Tear-Free &, Lightly Scented, 18 fl",4.4,211.0,1589.0,1999.0
189,"Huggies New Dry Medium (M) Size Diapers for Babies(5-12 Kg),Combo Pack of 2,60 Counts Per Pack (120 Counts)",3.9,26116.0,1438.0,1998.0
190,"RYLAN Baby Kids Water Play Mat Toys Inflatable Tummy Time Leakproof Water Play Mat, Fun Activity Play Center Indoor and Ou...",4.1,1627.0,299.0,999.0
191,"JUSTLIST New Born Baby Infant Soft Cotton Mitten Sets with Cap and Booties (Set of 4, Availability Colour May Vary and Pri...",4.0,314.0,399.0,699.0
192,"Pigeon by Stovekraft Hard Anodised Pressure Cooker 3 Litre (14547) Induction Base, Inner Lid, Black, Aluminium",4.2,1733.0,1195.0,2549.0
