name,ratings,no_of_ratings,discount_price,actual_price
Chaka Chaundh - Hard Work Quotes Wall Frames - Success Motivational Posters with Frame - Motivational Quotes Wall Framed P...,5,2,369,869
CraftVatika Pair of Kissing Duck Decorative Showpiece Metal Swan Set Statue for Home Table Office Desk Decoration - Gift f...,4,352,370,799
"Okayji Silicone Coasters Colorful Fruit Slices Theme for Coffee and Wine Lovers, Multicolour, 7-Pieces",3.8,932,179,310
"Fourwalls Beautiful Artificial Polyester and Plastic Tulip Flower Bunch (9 Head Flower, 38 cm Total Height, White, Set of 2)",3.9,511,418,1000
HiFam Magnetic Hooks for Hanging | Colorful Round Magnetic Hooks| Keys Hanger Office | Holds Strong | Kitchen Fridge Refri...,4.6,23,398,699
"RKR Plastic 3D DIY Frameless Designer Self Adhesive Analog Wall Clock with Big Mirror Surface Effect (70 cm X 70 cm, Black)",3.5,171,494,1999
god & god's Large Wall Sticker JUST Peel & Stick Size 50 or 60 cm Pack of 1 (Code GS422,1.7,3,99,799
"GKD Coaster Set of 6 Beautiful Wooden Coasters with Proper Coaster Stand Designer Coaster Set Fit for Tea Cups, Coffee Mug...",4.3,24,232,999
AR Handicrafts Unique Sheesham Plate Holder Stand Decorative Showpiece (08 Inch),4.1,263,199,499
Artvibes Motivational Quote Decorative Wall Art MDF Wooden Wall Hanger for Living Room | Bedroom | Home Decor | Office | G...,4.4,61,259,999
Woogor Feng Shui Crystal Lotus Transparent Multicolor for Positive Energy for Vastu Love Harmony Prosperity Peace Health W...,4.3,218,645,999
"BRIGHTAIL INFRA 1 Box Natural Real Dried Flowers For Art Craft Mixed Soap, Candle, Scrapbook, Diy, Resin Jewellery, Pendan...",3.5,173,299,599
"Nestasia Artisanal White Praying Angel Statue with Wings and Smooth Finishing for Decoration, Living Room, Shelf, Mantel, ...",4.4,121,1295,2330
"SHIVAMKRAFT 12 Pieces Artificial White Fake Foam Hawaii Frangipani Beach Floating Flowers (White, 12 Pieces)",4.5,17,279,1200
Kanisha eCrafts Natural Sea Shells Mix Size - Turned Snail for Aquariums/Art and Crafts/Table Decoration (Multicolor) Pack...,4,60,199,499
"Pure Copper Coin with Hole for wearing & puja/vesikarn puja vastu puja ghar Shanti puja for Home & Office(Copper, 10 gm)",3.9,16,86.45,149
